iter	Passed	Remaining
648	882	477
649	884	476
650	885	474
651	888	474
652	889	472
653	891	471
654	892	470
655	894	468
656	895	467
657	896	466
658	897	464
659	899	463
660	901	462
661	902	461
662	903	459
663	904	457
664	906	456
665	907	455
666	908	453
667	909	452
668	910	450
669	911	448
670	912	447
671	913	445
672	914	444
673	916	443
674	917	441
675	918	440
676	919	438
677	921	437
678	922	436
679	924	434
680	925	433
681	926	432
682	928	431
683	930	429
684	932	428
685	933	427
686	934	425
687	936	424
688	937	423
689	938	421
690	940	420
691	941	419
692	944	418
693	945	417
694	947	415
695	948	414
696	949	412
697	950	411
698	952	410
699	953	408
700	954	407
701	955	405
702	958	404
703	959	403
704	960	401
705	962	400
706	963	399
707	964	397
708	966	396
709	967	395
710	968	393
711	970	392
712	972	391
713	973	390
714	974	388
715	976	387
716	977	385
717	979	384
718	980	383
719	981	381
720	983	380
721	984	379
722	986	377
723	987	376
724	988	375
725	990	373
726	991	372
727	993	371
728	994	369
729	995	368
730	997	367
731	999	365
732	1000	364
733	1001	362
734	1002	361
735	1004	360
736	1005	358
737	1006	357
738	1007	355
739	1008	354
740	1010	353
741	1011	351
742	1013	350
743	1014	349
744	1015	347
745	1017	346
746	1018	344
747	1019	343
748	1021	342
749	1022	340
750	1023	339
751	1024	337
752	1026	336
753	1027	335
754	1029	333
755	1030	332
756	1031	331
757	1032	329
758	1033	328
759	1035	326
760	1036	325
761	1037	324
762	1038	322
763	1040	321
764	1041	320
765	1043	318
766	1044	317
767	1045	315
768	1046	314
769	1047	312
770	1048	311
771	1050	310
772	1051	308
773	1052	307
774	1054	306
775	1055	304
776	1056	303
777	1058	301
778	1059	300
779	1060	299
780	1061	297
781	1062	296
782	1063	294
783	1065	293
784	1066	292
785	1067	290
786	1069	289
787	1070	288
788	1072	286
789	1073	285
790	1074	283
791	1075	282
792	1076	281
793	1077	279
794	1079	278
795	1080	276
796	1081	275
797	1083	274
798	1084	272
799	1085	271
800	1086	270
801	1088	268
802	1089	267
803	1090	265
804	1091	264
805	1092	263
806	1094	261
807	1095	260
808	1096	258
809	1098	257
810	1099	256
811	1100	254
812	1101	253
813	1103	252
814	1104	250
815	1105	249
816	1107	247
817	1108	246
818	1109	245
819	1111	243
820	1112	242
821	1113	241
822	1115	239
823	1116	238
824	1117	237
825	1119	235
826	1120	234
827	1121	232
828	1122	231
829	1124	230
830	1125	228
831	1126	227
832	1128	226
833	1129	224
834	1130	223
835	1132	222
836	1133	220
837	1134	219
838	1135	217
839	1136	216
840	1138	215
841	1139	213
842	1141	212
843	1142	211
844	1143	209
845	1144	208
846	1146	207
847	1147	205
848	1148	204
849	1149	202
850	1150	201
851	1152	200
852	1153	198
853	1155	197
854	1156	196
855	1157	194
856	1159	193
857	1160	192
858	1161	190
859	1162	189
860	1164	187
861	1165	186
862	1167	185
863	1169	184
864	1170	182
865	1171	181
866	1172	179
867	1174	178
868	1175	177
869	1176	175
870	1177	174
871	1178	173
872	1180	171
873	1182	170
874	1183	169
875	1184	167
876	1185	166
877	1187	164
878	1188	163
879	1189	162
880	1190	160
881	1191	159
882	1193	158
883	1194	156
884	1196	155
885	1197	154
886	1199	152
887	1200	151
888	1202	150
889	1203	148
890	1204	147
891	1205	145
892	1206	144
893	1207	143
894	1209	141
895	1211	140
896	1212	139
897	1213	137
898	1214	136
899	1215	135
900	1217	133
901	1218	132
902	1219	131
903	1220	129
904	1221	128
905	1224	127
906	1225	125
907	1226	124
908	1227	122
909	1229	121
910	1230	120
911	1231	118
912	1232	117
913	1233	116
914	1234	114
915	1236	113
916	1238	112
917	1239	110
918	1240	109
919	1242	108
920	1243	106
921	1244	105
922	1245	103
923	1246	102
924	1248	101
925	1249	99
926	1251	98
927	1252	97
928	1254	95
929	1255	94
930	1256	93
931	1257	91
932	1258	90
933	1260	89
934	1261	87
935	1262	86
936	1263	84
937	1265	83
938	1267	82
939	1268	80
940	1269	79
941	1270	78
942	1272	76
943	1273	75
944	1274	74
945	1275	72
946	1277	71
947	1278	70
948	1280	68
949	1281	67
950	1282	66
951	1284	64
952	1285	63
953	1286	62
954	1287	60
955	1288	59
956	1289	57
957	1291	56
958	1292	55
959	1294	53
960	1295	52
961	1297	51
962	1298	49
963	1299	48
964	1300	47
965	1301	45
966	1303	44
967	1304	43
968	1305	41
969	1307	40
970	1309	39
971	1310	37
972	1311	36
973	1312	35
974	1314	33
975	1315	32
976	1316	30
977	1317	29
978	1318	28
979	1320	26
980	1321	25
981	1323	24
982	1324	22
983	1326	21
984	1327	20
985	1328	18
986	1329	17
987	1330	16
988	1332	14
989	1333	13
990	1334	12
991	1336	10
992	1337	9
993	1338	8
994	1340	6
995	1341	5
996	1342	4
997	1343	2
998	1345	1
999	1346	0
